Demultiplexer	Run_ID	ONT_Barcode	Genome_ID
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode01	VXO65
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode07	VXO65
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode03	VXO15
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode08	VXO15
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode04	VXO53
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode09	VXO53
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode05	VXO59
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode10	VXO59
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode06	VXO70
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode11	VXO70
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode02	VXO16
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode12	VXO11
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode01	VXO65
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode07	VXO65
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode03	VXO15
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode08	VXO15
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode04	VXO53
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode09	VXO53
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode05	VXO59
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode10	VXO59
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode06	VXO70
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode11	VXO70
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode02	VXO16
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode12	VXO11
